ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
3477722,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,130,0.98,950,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-130A_02172021122233_5065250
3477723,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-130,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,130,0.98,950,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-130_02172021122234_6135775
3477724,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-130A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,130,0.98,950,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-130A_02182021013802_4959804
3477725,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-160,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,160,0.97,980,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-160_02172021122233_4107070
3477726,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-160A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,160,0.97,980,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-160A_02172021122234_6291836
3477727,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-160,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,160,0.97,980,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-160_02172021122234_6298701
3477728,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-160A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,160,0.97,980,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-160A_02172021122234_2275910
3477729,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-200,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,200,0.95,1000,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-200_02172021122234_2625924
3477730,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-200,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,200,0.95,1000,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-200_02172021122235_7363742
3477731,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-200A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,200,0.95,1000,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-200A_02172021122234_7624946
3477732,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SS-200A,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,200,0.95,1000,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SS-200A_02172021122235_5541451
3477733,Rheem-Ruud Manufacturing,Raypak,Triton,GHE80SU-300,,,Gas Storage,"Gas,Propane",Power Direct Vent,80,51,64,23.9,3,,,300,0.95,1105,,,,04/01/2021,05/08/2024,"United States, Canada",ES_1045829_GHE80SU-300_02172021122235_2253356
