ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,UPC,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2024 Criteria
2305176,LG,LKIM08121*,,Compact Refrigerator,48231796385,Manual,Yes,No,No,No,No,37.4,36.3,7.6,7.6,169,279,39,No,11/10/2017,10/17/2017,"United States, Canada",ES_1118034_LKIM08121*_10192017023453_70160045,Yes
3462855,Konfort,561-11579,",561-11580,",Top Freezer,135791115791;135791115807,Automatic,No,No,No,No,No,59.8,23.6,10,12.1,297,331,10,No,04/18/2024,04/23/2024,United States,ES_1150335_561-11579_04192024093555_3385125,Yes
3462856,Konfort,561-11581,",561-11582,",Top Freezer,135791115814;135791115821,Automatic,No,No,No,No,No,66.1,29.7,18.1,21.8,367,410,10,No,04/15/2024,04/23/2024,United States,ES_1150335_561-11581_04192024094153_741540,Yes
3360848,L2,LRT12B2AWW,,Top Freezer,,Automatic,No,No,No,No,No,59.8,24,11.5,13.9,311,346,10,No,01/11/2024,07/24/2020,Canada,ES_1147914_LRT12B2AWW_01122024120221_80196011,Yes
2400220,L2,LRT18S4ASTC,,Top Freezer,687636005618,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,08/01/2022,08/16/2022,Canada,ES_1147914_LRT18S4ASTC_08162022030072_5061986,Yes
2400219,L2,LRT18S4AWWC,,Top Freezer,687636005601,Automatic,No,No,No,No,No,67,33,18,21,362,403,10,No,08/01/2022,08/16/2022,Canada,ES_1147914_LRT18S4AWWC_081620220301917_5711380,Yes
2402235,Liebherr,IC5100PC,,Bottom Freezer,4016803078814,Automatic,No,Yes,No,No,Yes,70,22,8.9,10.7,300,437,31,No,07/01/2022,09/30/2022,"United States, Canada",ES_1017655_IC5100PC_10032022081937_80143226,Yes
2402236,Liebherr,ICB5160IM,,Bottom Freezer,4016803079095,Automatic,No,Yes,No,Yes,Yes,70,22,8.7,10.7,382,521,32,No,07/01/2022,09/30/2022,"United States, Canada",ES_1017655_ICB5160IM_10032022081937_80143226,Yes
2402233,Liebherr,ICS5100,,Bottom Freezer,4016803079057,Automatic,No,Yes,No,No,Yes,70,22,8.9,10.7,300,437,31,No,07/01/2022,09/30/2022,"United States, Canada",ES_1017655_ICS5100_10032022081937_80143226,Yes
2402234,Liebherr,ICS5101,,Bottom Freezer,4016803086277,Automatic,No,Yes,No,No,Yes,70,22,8.9,10.7,300,437,31,No,07/01/2022,09/30/2022,"United States, Canada",ES_1017655_ICS5101_10032022081937_80143226,Yes
2406369,Liebherr,SC5781,,Bottom Freezer,4016803106296,Automatic,No,No,No,No,Yes,80,24,12.8,15.6,300,455,34,No,03/01/2023,05/16/2022,United States,SC5781,Yes
3387628,Liebherr,SC7520,,Bottom Freezer,4016803087571,Automatic,No,No,No,No,Yes,73,24,12.8,16.5,295,463,36,No,03/01/2024,01/12/2024,"United States, Canada",SC7520,Yes
3387632,Liebherr,SC7541IM,,Bottom Freezer,4016803106258,Automatic,No,No,No,Yes,Yes,65,30,12.8,16.5,386,547,35,No,03/01/2024,01/12/2024,"United States, Canada",SC7541IM,Yes
3387634,Liebherr,SC7751,,Bottom Freezer,4016803106272,Automatic,No,No,No,No,Yes,73,24,16.9,20.6,354,499,29,No,03/01/2024,01/12/2024,"United States, Canada",SC7751,Yes
2486233,Liebherr,SCB5790IM,,Bottom Freezer,4016803089933,Automatic,No,No,No,Yes,Yes,73,24,12.7,15.5,370,538,37,No,07/01/2023,05/16/2023,United States,SCB5790IM,Yes
3387635,Liebherr,SCB7760IM,,Bottom Freezer,4016803058632,Automatic,No,No,No,Yes,Yes,79,24,16.8,20.5,445,582,28,No,03/01/2024,01/12/2024,"United States, Canada",SCB7760IM,Yes
2321536,Liebherr,UPR513,,Compact Refrigerator,4016803039372,Automatic,Yes,No,No,No,Yes,32.3,23.5,4.4,4.4,205,300,32,No,05/15/2018,06/20/2018,"United States, Canada",ES_1017655_UPR513_06212018020527_70188344,Yes
2321538,Liebherr,UR500,,Compact Refrigerator,4016803187288,Automatic,Yes,No,No,No,Yes,32.3,23.5,4.8,4.8,208,303,31,No,05/15/2018,06/20/2018,"United States, Canada",ES_1017655_UR500_06212018020527_70188344,Yes
